Sentence,Label
Go on. Father's watching.,jon snow
And your mother.,jon snow
Thank you.,sansa stark
"Don't think too much, Bran.",jon snow
Relax your bow arm.,robb stark
Do you have to?,catelyn stark
Ned. Ten is too young to see such things.,catelyn stark
"Lad, go run back and get the rest.",robb stark
Don't look away.,jon snow
Father will know if you do.,jon snow
You did well.,jon snow
What is it?,jon snow
Mountain lion?,theon greyjoy
It's a freak.,theon greyjoy
There are no direwolves south of the Wall.,robb stark
Now there are five.,jon snow
You want to hold it?,jon snow
Right. Give it here.,theon greyjoy
Put away your blade.,robb stark
"I take orders from your father, not you.",theon greyjoy
Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,jon snow
I'm not a Stark. Get on.,jon snow
What is it?,robb stark
"The runt of the litter. That one's yours, Snow.",theon greyjoy
"As your brother, I feel it's my duty to warn you",jaime lannister
"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",cersei lannister
"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",jaime lannister
What if Jon Arryn told someone?,cersei lannister
But who would he tell?,jaime lannister
My husband.,cersei lannister
"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",jaime lannister
You should be the Hand of the king.,cersei lannister
"That's an honor I can do without. Their days are too long, their lives are too short.",jaime lannister
All these years and I still feel like an outsider when I come here.,catelyn stark
I wonder if the old gods agree.,catelyn stark
"I am so sorry, my love.",catelyn stark
There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,catelyn stark
They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,catelyn stark
"You can always say no, Ned.",catelyn stark
We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,catelyn stark
How much could he possibly drink? A man of his … stature.,catelyn stark
"In any case, candles.",catelyn stark
Why's your mother so dead-set on us getting pretty for the king?,jon snow
"It's for the queen, I bet. I hear she's [sleek as a mink?]",theon greyjoy
I hear the prince is a right royal prick.,robb stark
Think of all those southern girls he gets to stab with his right royal prick.,theon greyjoy
"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",robb stark
"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",catelyn stark
How many times have I told you,catelyn stark
I want you to promise me,catelyn stark
D'you know what?,catelyn stark
You always look at your feet before you lie. Run and find your father. Tell him the king is close.,catelyn stark
"Where's Arya? Sansa, where's your sister?",catelyn stark
Move!,arya stark
Your Grace.,catelyn stark
Where's the Imp?,arya stark
Will you shut up?,sansa stark
Arya.,arya stark
That's Jaime Lannister. The queen's twin brother.,arya stark
Would you please shut up.,sansa stark
My queen.,catelyn stark
"We've been riding for a month, my love. Surely the dead can wait.",cersei lannister
Where is our brother? Go find the little beast.,cersei lannister
Mmh. It is true what they say about the Northern girls.,tyrion lannister
I did hear something about that.,tyrion lannister
And the other brother?,tyrion lannister
There's the pretty one. And there's the clever one.,tyrion lannister
I hear he hates that nickname.,tyrion lannister
Clever girl.,tyrion lannister
Have you?,tyrion lannister
The gods gave me one blessing.,tyrion lannister
Don't get up.,jaime lannister
"Should I explain to you the meaning of a closed door in a whorehouse, brother?",tyrion lannister
"You've much to teach me, no doubt. But our sister craves your attention.",jaime lannister
"She has odd cravings, our sister.",tyrion lannister
"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",jaime lannister
"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",tyrion lannister
"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",jaime lannister
Close the door!,tyrion lannister
We've been his guests for over a year and he's never asked us for anything.,daenerys targaryen
No.,daenerys targaryen
I don't want to be his queen. I want to go home.,daenerys targaryen
I don't know.,daenerys targaryen
Do you think Joffrey will like me? What if he thinks I'm ugly?,sansa stark
Then he is the stupidest prince that ever lived.,catelyn stark
He's so handsome.,sansa stark
When would we be married? Soon or do we have to wait?,sansa stark
Hush now. Your father hasn't even said yes.,catelyn stark
Why would he say no? He'd be the second most powerful man in the kingdoms.,sansa stark
He'd have to leave home. He'd have to leave me. And so would you.,catelyn stark
You left your home to come here. And I'd be queen someday. Please make father say yes.,sansa stark
Sansa…,catelyn stark
"Please, please. It's the only thing I ever wanted.",sansa stark
Uncle Benjen!,jon snow
Lady Stark thought it might insult the royal family to seat a bastard in their midst.,jon snow
So take me with you when you go back.,jon snow
"Father will let me if you ask him, I know he will.",jon snow
I'm ready to swear your oath.,jon snow
I don't care about that.,jon snow
Your uncle's in the Night's Watch.,tyrion lannister
What're you doing back there?,jon snow
Preparing for a night with your family. I've always wanted to see the Wall.,tyrion lannister
You're Tyrion Lannister. The queen's brother?,jon snow
"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",tyrion lannister
"Did I offend you? Sorry. You are the bastard, though.",tyrion lannister
Lord Eddard Stark is my father.,jon snow
"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",tyrion lannister
What the hell do you know about being a bastard?,jon snow
All dwarves are bastards in their fathers' eyes.,tyrion lannister
Uncle Benjen.,robb stark
I'm good.,robb stark
"Is this your first time in the North, Your Grace?",catelyn stark
Yes. Lovely country.,cersei lannister
"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",catelyn stark
"Hello, little dove. But you are a beauty. How old are you?",cersei lannister
"Thirteen, Your Grace.",sansa stark
You're tall. Still growing?,cersei lannister
"I think so, Your Grace.",sansa stark
And have you bled yet?,cersei lannister
"No, Your Grace.",sansa stark
And your dress. Did you make it?,cersei lannister
Such talent. You must make something for me.,cersei lannister
I hear we might share a grandchild someday.,cersei lannister
I hear the same.,catelyn stark
Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.,cersei lannister
I hear we might be neighbors soon. I hope it's true.,jaime lannister
"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.",jaime lannister
No? Getting a little old for it?,jaime lannister
Well said.,jaime lannister
Arya!,sansa stark
Time for bed.,robb stark
I won't let him take you.,catelyn stark
"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'",catelyn stark
He only stops eating when it's time for a drink.,catelyn stark
This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.,catelyn stark
She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.,catelyn stark
"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?",catelyn stark
They murdered the last Hand. Now you want Ned to take the job.,catelyn stark
He spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.,catelyn stark
A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.,jorah mormont
"Thank you, ser. Are you from my country?",daenerys targaryen
"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.",jorah mormont
"Thank you, Magister.",daenerys targaryen
"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki.",daenerys targaryen
There is no word for ‘thank you' in Dothraki.,jorah mormont
Do you know the Common Tongue?,daenerys targaryen
Is ‘no' the only word that you know?,daenerys targaryen
"If I get through this without squirting from one end or the other, it will be a miracle.",tyrion lannister
The greatest in the land. My spear never misses.,tyrion lannister
Stop. STOP.,cersei lannister
Are you completely mad?,jaime lannister
He saw us.,cersei lannister
It's all right. It's all right.,jaime lannister
He saw us!,cersei lannister
"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?",jaime lannister
Ten.,jaime lannister
The things I do for love.,jaime lannister
"You need to drink, child... And eat.",jorah mormont
Isn't there anything else?,daenerys targaryen
The Dothraki have two things in abundance,jorah mormont
"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",jorah mormont
