Episode,Name,Sentence
Episode 1,jon snow,Go on. Father's watching.
Episode 1,jon snow,And your mother.
Episode 1,sansa stark,Thank you.
Episode 1,jon snow,"Don't think too much, Bran."
Episode 1,robb stark,Relax your bow arm.
Episode 1,catelyn stark,Do you have to?
Episode 1,catelyn stark,Ned. Ten is too young to see such things.
Episode 1,robb stark,"Lad, go run back and get the rest."
Episode 1,jon snow,Don't look away.
Episode 1,jon snow,Father will know if you do.
Episode 1,jon snow,You did well.
Episode 1,jon snow,What is it?
Episode 1,theon greyjoy,Mountain lion?
Episode 1,theon greyjoy,It's a freak.
Episode 1,robb stark,There are no direwolves south of the Wall.
Episode 1,jon snow,Now there are five.
Episode 1,jon snow,You want to hold it?
Episode 1,theon greyjoy,Right. Give it here.
Episode 1,robb stark,Put away your blade.
Episode 1,theon greyjoy,"I take orders from your father, not you."
Episode 1,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
Episode 1,jon snow,I'm not a Stark. Get on.
Episode 1,robb stark,What is it?
Episode 1,theon greyjoy,"The runt of the litter. That one's yours, Snow."
Episode 1,jaime lannister,"As your brother, I feel it's my duty to warn you"
Episode 1,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
Episode 1,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
Episode 1,cersei lannister,What if Jon Arryn told someone?
Episode 1,jaime lannister,But who would he tell?
Episode 1,cersei lannister,My husband.
Episode 1,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
Episode 1,cersei lannister,You should be the Hand of the king.
Episode 1,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short."
Episode 1,catelyn stark,All these years and I still feel like an outsider when I come here.
Episode 1,catelyn stark,I wonder if the old gods agree.
Episode 1,catelyn stark,"I am so sorry, my love."
Episode 1,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
Episode 1,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
Episode 1,catelyn stark,"You can always say no, Ned."
Episode 1,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
Episode 1,catelyn stark,How much could he possibly drink? A man of his … stature.
Episode 1,catelyn stark,"In any case, candles."
Episode 1,jon snow,Why's your mother so dead-set on us getting pretty for the king?
Episode 1,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]"
Episode 1,robb stark,I hear the prince is a right royal prick.
Episode 1,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.
Episode 1,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
Episode 1,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
Episode 1,catelyn stark,How many times have I told you
Episode 1,catelyn stark,I want you to promise me
Episode 1,catelyn stark,D'you know what?
Episode 1,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.
Episode 1,catelyn stark,"Where's Arya? Sansa, where's your sister?"
Episode 1,arya stark,Move!
Episode 1,catelyn stark,Your Grace.
Episode 1,arya stark,Where's the Imp?
Episode 1,sansa stark,Will you shut up?
Episode 1,arya stark,Arya.
Episode 1,arya stark,That's Jaime Lannister. The queen's twin brother.
Episode 1,sansa stark,Would you please shut up.
Episode 1,catelyn stark,My queen.
Episode 1,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait."
Episode 1,cersei lannister,Where is our brother? Go find the little beast.
Episode 1,tyrion lannister,Mmh. It is true what they say about the Northern girls.
Episode 1,tyrion lannister,I did hear something about that.
Episode 1,tyrion lannister,And the other brother?
Episode 1,tyrion lannister,There's the pretty one. And there's the clever one.
Episode 1,tyrion lannister,I hear he hates that nickname.
Episode 1,tyrion lannister,Clever girl.
Episode 1,tyrion lannister,Have you?
Episode 1,tyrion lannister,The gods gave me one blessing.
Episode 1,jaime lannister,Don't get up.
Episode 1,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?"
Episode 1,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention."
Episode 1,tyrion lannister,"She has odd cravings, our sister."
Episode 1,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
Episode 1,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses."
Episode 1,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown."
Episode 1,tyrion lannister,Close the door!
Episode 1,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.
Episode 1,daenerys targaryen,No.
Episode 1,daenerys targaryen,I don't want to be his queen. I want to go home.
Episode 1,daenerys targaryen,I don't know.
Episode 1,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?
Episode 1,catelyn stark,Then he is the stupidest prince that ever lived.
Episode 1,sansa stark,He's so handsome.
Episode 1,sansa stark,When would we be married? Soon or do we have to wait?
Episode 1,catelyn stark,Hush now. Your father hasn't even said yes.
Episode 1,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.
Episode 1,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.
Episode 1,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.
Episode 1,catelyn stark,Sansa…
Episode 1,sansa stark,"Please, please. It's the only thing I ever wanted."
Episode 1,jon snow,Uncle Benjen!
Episode 1,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
Episode 1,jon snow,So take me with you when you go back.
Episode 1,jon snow,"Father will let me if you ask him, I know he will."
Episode 1,jon snow,I'm ready to swear your oath.
Episode 1,jon snow,I don't care about that.
Episode 1,tyrion lannister,Your uncle's in the Night's Watch.
Episode 1,jon snow,What're you doing back there?
Episode 1,tyrion lannister,Preparing for a night with your family. I've always wanted to see the Wall.
Episode 1,jon snow,You're Tyrion Lannister. The queen's brother?
Episode 1,tyrion lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
Episode 1,tyrion lannister,"Did I offend you? Sorry. You are the bastard, though."
Episode 1,jon snow,Lord Eddard Stark is my father.
Episode 1,tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
Episode 1,jon snow,What the hell do you know about being a bastard?
Episode 1,tyrion lannister,All dwarves are bastards in their fathers' eyes.
Episode 1,robb stark,Uncle Benjen.
Episode 1,robb stark,I'm good.
Episode 1,catelyn stark,"Is this your first time in the North, Your Grace?"
Episode 1,cersei lannister,Yes. Lovely country.
Episode 1,catelyn stark,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
Episode 1,cersei lannister,"Hello, little dove. But you are a beauty. How old are you?"
Episode 1,sansa stark,"Thirteen, Your Grace."
Episode 1,cersei lannister,You're tall. Still growing?
Episode 1,sansa stark,"I think so, Your Grace."
